date,location,total_cases,total_deaths,new_cases,new_deaths
2020-02-25,Acre,0,0,0,0
2020-02-25,Alagoas,0,0,0,0
2020-02-25,Amapá,0,0,0,0
2020-02-25,Amazonas,0,0,0,0
2020-02-25,Bahia,0,0,0,0
2020-02-25,Ceará,0,0,0,0
2020-02-25,Distrito Federal,0,0,0,0
2020-02-25,Espírito Santo,0,0,0,0
2020-02-25,Goiás,0,0,0,0
2020-02-25,Maranhão,0,0,0,0
2020-02-25,Mato Grosso,0,0,0,0
2020-02-25,Mato Grosso do Sul,0,0,0,0
2020-02-25,Minas Gerais,0,0,0,0
2020-02-25,Pará,0,0,0,0
2020-02-25,Paraíba,0,0,0,0
2020-02-25,Paraná,0,0,0,0
2020-02-25,Pernambuco,0,0,0,0
2020-02-25,Piauí,0,0,0,0
2020-02-25,Rio de Janeiro,0,0,0,0
2020-02-25,Rio Grande do Norte,0,0,0,0
2020-02-25,Rio Grande do Sul,0,0,0,0
2020-02-25,Rondônia,0,0,0,0
2020-02-25,Roraima,0,0,0,0
2020-02-25,Santa Catarina,0,0,0,0
2020-02-25,São Paulo,1,0,0,0
2020-02-25,Sergipe,0,0,0,0
2020-02-25,Tocantins,0,0,0,0
2020-02-26,Acre,0,0,0,0
2020-02-26,Alagoas,0,0,0,0
2020-02-26,Amapá,0,0,0,0
2020-02-26,Amazonas,0,0,0,0
2020-02-26,Bahia,0,0,0,0
2020-02-26,Ceará,0,0,0,0
2020-02-26,Distrito Federal,0,0,0,0
2020-02-26,Espírito Santo,0,0,0,0
2020-02-26,Goiás,0,0,0,0
2020-02-26,Maranhão,0,0,0,0
2020-02-26,Mato Grosso,0,0,0,0
2020-02-26,Mato Grosso do Sul,0,0,0,0
2020-02-26,Minas Gerais,0,0,0,0
2020-02-26,Pará,0,0,0,0
2020-02-26,Paraíba,0,0,0,0
2020-02-26,Paraná,0,0,0,0
2020-02-26,Pernambuco,0,0,0,0
2020-02-26,Piauí,0,0,0,0
2020-02-26,Rio de Janeiro,0,0,0,0
2020-02-26,Rio Grande do Norte,0,0,0,0
2020-02-26,Rio Grande do Sul,0,0,0,0
2020-02-26,Rondônia,0,0,0,0
2020-02-26,Roraima,0,0,0,0
2020-02-26,Santa Catarina,0,0,0,0
2020-02-26,São Paulo,1,0,0,0
2020-02-26,Sergipe,0,0,0,0
2020-02-26,Tocantins,0,0,0,0
2020-02-27,Acre,0,0,0,0
2020-02-27,Alagoas,0,0,0,0
2020-02-27,Amapá,0,0,0,0
2020-02-27,Amazonas,0,0,0,0
2020-02-27,Bahia,0,0,0,0
2020-02-27,Ceará,0,0,0,0
2020-02-27,Distrito Federal,0,0,0,0
2020-02-27,Espírito Santo,0,0,0,0
2020-02-27,Goiás,0,0,0,0
2020-02-27,Maranhão,0,0,0,0
2020-02-27,Mato Grosso,0,0,0,0
2020-02-27,Mato Grosso do Sul,0,0,0,0
2020-02-27,Minas Gerais,0,0,0,0
2020-02-27,Pará,0,0,0,0
2020-02-27,Paraíba,0,0,0,0
2020-02-27,Paraná,0,0,0,0
2020-02-27,Pernambuco,0,0,0,0
2020-02-27,Piauí,0,0,0,0
2020-02-27,Rio de Janeiro,0,0,0,0
2020-02-27,Rio Grande do Norte,0,0,0,0
2020-02-27,Rio Grande do Sul,0,0,0,0
2020-02-27,Rondônia,0,0,0,0
2020-02-27,Roraima,0,0,0,0
2020-02-27,Santa Catarina,0,0,0,0
2020-02-27,São Paulo,1,0,0,0
2020-02-27,Sergipe,0,0,0,0
2020-02-27,Tocantins,0,0,0,0
2020-02-28,Acre,0,0,0,0
2020-02-28,Alagoas,0,0,0,0
2020-02-28,Amapá,0,0,0,0
2020-02-28,Amazonas,0,0,0,0
2020-02-28,Bahia,0,0,0,0
2020-02-28,Ceará,0,0,0,0
2020-02-28,Distrito Federal,0,0,0,0
2020-02-28,Espírito Santo,0,0,0,0
2020-02-28,Goiás,0,0,0,0
2020-02-28,Maranhão,0,0,0,0
2020-02-28,Mato Grosso,0,0,0,0
2020-02-28,Mato Grosso do Sul,0,0,0,0
2020-02-28,Minas Gerais,0,0,0,0
2020-02-28,Pará,0,0,0,0
2020-02-28,Paraíba,0,0,0,0
2020-02-28,Paraná,0,0,0,0
2020-02-28,Pernambuco,0,0,0,0
2020-02-28,Piauí,0,0,0,0
2020-02-28,Rio de Janeiro,0,0,0,0
2020-02-28,Rio Grande do Norte,0,0,0,0
2020-02-28,Rio Grande do Sul,0,0,0,0
2020-02-28,Rondônia,0,0,0,0
2020-02-28,Roraima,0,0,0,0
2020-02-28,Santa Catarina,0,0,0,0
2020-02-28,São Paulo,1,0,0,0
2020-02-28,Sergipe,0,0,0,0
2020-02-28,Tocantins,0,0,0,0
2020-02-29,Acre,0,0,0,0
2020-02-29,Alagoas,0,0,0,0
2020-02-29,Amapá,0,0,0,0
2020-02-29,Amazonas,0,0,0,0
2020-02-29,Bahia,0,0,0,0
2020-02-29,Ceará,0,0,0,0
